id_hogar,renglon,pobreden,age_baseline,sex_baseline,yycali_97,state,village,cut,y_post,y_baseline,xbin,bin_midpt
657512,3,1,14,female,725.5,3,300830048,759.35999,1,1,4,-32.5
423918,7,1,8,female,726.25,3,300230176,759.35999,1,0,4,-32.5
401439,6,no pobre,10,female,808,3,301550016,759.35999,1,1,20,47.5
644310,4,1,10,female,735,3,300790016,759.35999,1,1,6,-22.5
400086,4,1,15,female,717,3,300550080,759.35999,0,1,2,-42.5
642480,7,1,11,female,735,3,300580096,759.35999,1,1,6,-22.5
513180,5,1,11,female,742,3,300580096,759.35999,1,1,7,-17.5
230167,2,no pobre,10,female,790,3,300140032,759.35999,1,1,17,32.5
326802,5,1,13,male,725,3,301730048,759.35999,0,1,4,-32.5
118876,10,1,7,female,751,3,300240000,759.35999,1,1,9,-7.5
404939,6,1,13,female,725.5,3,300550016,759.35999,1,1,4,-32.5
410382,5,1,9,female,749,3,300580064,759.35999,1,1,8,-12.5
649060,4,1,9,male,730,3,300580128,759.35999,1,1,5,-27.5
